Artificial Intelligence,B1 - Bachelor 1. Jahr,B2 - Bachelor 2. Jahr,B3 - Bachelor 3. Jahr,Betriebswirtschaftslehre,Biologische Chemie,Chemie,D - Diplom,Informatik,Informationselektronik,KS,Kunststofftechnik,M1 - Master 1. Jahr,M2 - Master 2. Jahr,Maschinenbau,Mathematik,Mechatronik,Medical Engineering,None_level,None_sa,Pädagogik,Rechtswissenschaften,Sozialwissenschaften,Statistik,UE,VL,Volkswirtschaftslehre,Wirtschaftsinformatik,calendarweek,calendarweek1,calendarweek2,coursenumber,ects,endtime,endtime1,endtime2,exam,occcount,occrate,registered,roomcapacity,roomid,starttime,starttime1,starttime2,test,tutorium,weekday,weekday1,weekday2
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0.9854499999999999,0.38034999999999997,243.115,6.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,135,-1,-1,2024-04-08 08:30:00,0.8967,0.1956,False,False,Mo.,0.5,1.0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0.9854499999999999,0.38034999999999997,368.190,3.0,2024-04-08 10:00:00,0.75,0.067,False,-1,-1.0,244,-1,-1,2024-04-08 08:30:00,0.8967,0.1956,False,False,Mo.,0.5,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0.9854499999999999,0.38034999999999997,239.203,3.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,33,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9854499999999999,0.38034999999999997,266.002,3.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,102,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.9854499999999999,0.38034999999999997,269.030,3.0,2024-04-08 13:30:00,0.30865,0.03804999999999997,False,-1,-1.0,82,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,15,0.9854499999999999,0.38034999999999997,531.160,3.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,101,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,15,0.9854499999999999,0.38034999999999997,531.120,4.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,102,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0.9854499999999999,0.38034999999999997,238.302,3.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,43,0.3739130434782609,115,152,1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15,0.9854499999999999,0.38034999999999997,335.003,3.0,2024-04-08 11:45:00,0.5327,0.0010499999999999954,False,-1,-1.0,94,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0.9854499999999999,0.38034999999999997,362.068,1.5,2024-04-08 11:45:00,0.5327,0.0010499999999999954,True,-1,-1.0,27,-1,-1,2024-04-08 10:15:00,0.72115,0.051549999999999985,False,False,Mo.,0.5,1.0
